,0
0,0.017737228
1,0.007918395
2,0.001266945
3,0.0063347286
4,0.17198767
5,17.460096
6,215.91783
7,460.0345
8,709.82166
9,887.04736
10,1020.2158
11,891.77814
12,803.7995
13,715.0993
14,755.2485
15,468.1405
16,229.40967
17,10.538129
18,0.0
19,0.0
20,0.0
21,0.00031673667
22,0.00031673667
23,0.00031673667
24,0.00031673667
25,0.00031673667
26,0.00063347333
27,0.0031673633
28,0.013936393
29,8.7476225
30,192.92323
31,442.5325
32,574.73083
33,724.8522
34,930.6075
35,882.48114
36,799.141
37,828.82434
38,601.77783
39,421.23218
40,224.2035
41,19.024132
42,0.0
43,0.0
44,0.00031673667
45,0.0031673633
46,0.00063347333
47,0.0015836817
48,0.037058093
49,0.002850625
50,0.002850625
51,0.00475104
52,0.0031673617
53,14.821049
54,198.08414
55,457.8435
56,655.85736
57,937.5245
58,934.16583
59,996.4717
60,870.7113
61,787.945
62,539.2872
63,407.227
64,207.7155
65,20.301865
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0015836817
72,0.025022142
73,0.0034840982
74,0.0028506266
75,0.010135554
76,0.0025338884
77,14.227791
78,198.20784
79,463.58884
80,701.669
81,891.86816
82,669.6505
83,890.941
84,950.2968
85,816.6403
86,678.8777
87,310.05865
88,185.38066
89,14.94077
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0034841
97,0.0025338884
98,0.00095020834
99,0.0
100,0.0015836817
101,17.947859
102,212.1535
103,471.5305
104,710.88
105,842.2175
106,946.8807
107,816.84216
108,794.6142
109,781.52686
110,714.27966
111,323.33368
112,169.79247
113,12.601999
114,0.0
115,0.0
116,0.0
117,0.0
118,0.00031673667
119,0.0031673617
120,0.00063347333
121,0.0041175717
122,0.0044343066
123,0.002850625
124,0.001266945
125,8.84551
126,160.22612
127,335.81683
128,456.75116
129,431.96268
130,922.06836
131,1071.568
132,1037.8481
133,950.8077
134,674.74414
135,502.386
136,177.58931
137,8.990876
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0031673617
143,0.0022171533
144,0.00063347333
145,0.0025338884
146,0.00031673667
147,0.0015836817
148,0.0012669433
149,13.746043
150,199.97557
151,460.87732
152,693.7968
